ZIP_CODE	STATE_ABBREV	COUNTY_NAME	CITY_NAME	STATE_SALES_TAX	STATE_USE_TAX	COUNTY_SALES_TAX	COUNTY_USE_TAX	CITY_SALES_TAX	CITY_USE_TAX	TOTAL_SALES_TAX	TOTAL_USE_TAX	TAX_SHIPPING_ALONE	TAX_SHIPPING_AND_HANDLING_TOGETHER
99802	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99803	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99811	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99812	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99820	AK	HOONAH ANGOON	ANGOON	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99821	AK	JUNEAU	AUKE BAY	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99824	AK	JUNEAU	DOUGLAS	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99825	AK	HOONAH ANGOON	ELFIN COVE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99826	AK	HOONAH ANGOON	GUSTAVUS	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99827	AK	HAINES	HAINES	0.000000	0.000000	0.055000	0.000000	0.000000	0.000000	0.055000	0.000000	N	N
99829	AK	HOONAH ANGOON	HOONAH	0.000000	0.000000	0.000000	0.000000	0.065000	0.000000	0.065000	0.000000	N	N
99830	AK	HOONAH ANGOON	KAKE	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99832	AK	HOONAH ANGOON	PELICAN	0.000000	0.000000	0.000000	0.000000	0.040000	0.000000	0.040000	0.000000	N	N
99833	AK	WRANGELL PETERSBURG	PETERSBURG	0.000000	0.000000	0.000000	0.000000	0.060000	0.000000	0.060000	0.000000	N	N
99835	AK	SITKA	SITKA	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99836	AK	PRINCE OF WALES HYDER	PORT ALEXANDER	0.000000	0.000000	0.000000	0.000000	0.040000	0.000000	0.040000	0.000000	N	N
99840	AK	HOONAH ANGOON	SKAGWAY	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99841	AK	HOONAH ANGOON	TENAKEE SPRINGS	0.000000	0.000000	0.000000	0.000000	0.020000	0.000000	0.020000	0.000000	N	N
99850	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99901	AK	KETCHIKAN GATEWAY	KETCHIKAN	0.000000	0.000000	0.025000	0.000000	0.035000	0.000000	0.060000	0.000000	N	N
99903	AK	KETCHIKAN GATEWAY	MEYERS CHUCK	0.000000	0.000000	0.000000	0.000000	0.070000	0.000000	0.070000	0.000000	N	N
99918	AK	PRINCE OF WALES HYDER	COFFMAN COVE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99919	AK	PRINCE OF WALES HYDER	THORNE BAY	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99921	AK	PRINCE OF WALES HYDER	CRAIG	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
99922	AK	PRINCE OF WALES HYDER	HYDABURG	0.000000	0.000000	0.000000	0.000000	0.040000	0.000000	0.040000	0.000000	N	N
99923	AK	PRINCE OF WALES HYDER	HYDER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99925	AK	PRINCE OF WALES HYDER	KLAWOCK	0.000000	0.000000	0.000000	0.000000	0.055000	0.000000	0.055000	0.000000	N	N
99926	AK	PRINCE OF WALES HYDER	METLAKATLA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99927	AK	PRINCE OF WALES HYDER	POINT BAKER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99928	AK	KETCHIKAN GATEWAY	WARD COVE	0.000000	0.000000	0.025000	0.000000	0.000000	0.000000	0.025000	0.000000	N	N
99929	AK	WRANGELL PETERSBURG	WRANGELL	0.000000	0.000000	0.000000	0.000000	0.070000	0.000000	0.070000	0.000000	N	N
99950	AK	KETCHIKAN GATEWAY	KETCHIKAN	0.000000	0.000000	0.025000	0.000000	0.035000	0.000000	0.060000	0.000000	N	N
96799	AS	AMERICAN SAMOA	PAGO PAGO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
85001	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85002	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85003	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85004	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85005	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85006	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85007	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85008	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85009	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85010	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85011	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85012	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85013	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85014	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85015	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85016	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85017	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85018	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85019	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85020	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85021	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85022	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85023	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85024	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85025	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85026	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85027	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85028	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85029	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85030	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85031	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85032	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
